,zip,city,price,baths,beds,home_sqft,type,url,year_built,lot_sqft
69,91724,Covina,239000.0,2.0,3.0,1176.0,MANUFACTURED,https://www.zillow.com/homedetails/21210-E-Arrow-Hwy-TRAILER-42-Covina-CA-91724/136705374_zpid/,1999.0,1176.0
70,91724,Covina,770000.0,2.0,3.0,1364.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/444-N-Rimhurst-Ave-Covina-CA-91724/21546254_zpid/,1957.0,7969.0
71,91724,Covina,560000.0,3.0,3.0,1291.0,TOWNHOUSE,https://www.zillow.com/homedetails/20821-E-Calora-St-APT-E8-Covina-CA-91724/21535007_zpid/,1984.0,1291.0
72,91723,Covina,649800.0,2.0,2.0,1176.0,MULTI_FAMILY,https://www.zillow.com/homedetails/383-E-Badillo-St-Covina-CA-91723/21553774_zpid/,1929.0,5182.0
73,91723,Covina,599995.0,3.0,3.0,1414.0,TOWNHOUSE,https://www.zillow.com/homedetails/427-E-Algrove-St-Covina-CA-91723/21553860_zpid/,1986.0,1414.0
74,91724,Covina,1325000.0,3.0,5.0,3026.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/751-S-Rancho-Simi-Dr-Covina-CA-91724/21555475_zpid/,1974.0,22036.0
75,91724,Covina,900000.0,3.0,4.0,1854.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/1336-E-Navilla-Pl-Covina-CA-91724/21554651_zpid/,1961.0,10329.0
76,91723,Covina,888000.0,2.0,3.0,1484.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/711-E-Camellia-Dr-Covina-CA-91723/21557045_zpid/,1954.0,9422.0
77,91724,Covina,4200000.0,7.0,8.0,5745.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/20620-E-Covina-Hills-Rd-Covina-CA-91724/21555749_zpid/,1958.0,197000.1
78,91724,Covina,560000.0,3.0,2.0,1131.0,CONDO,https://www.zillow.com/homedetails/1190-N-Sunflower-Ave-Covina-CA-91724/21535416_zpid/,1983.0,1131.0
79,91724,Covina,1099800.0,3.0,4.0,2265.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/1946-E-Rancho-Culebra-Dr-Covina-CA-91724/21555557_zpid/,1968.0,11072.000000000002
80,91722,Covina,835900.0,2.0,3.0,1590.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/865-W-Chester-Rd-Covina-CA-91722/21548631_zpid/,1953.0,12043.0
81,91724,Covina,1599000.0,4.0,4.0,3221.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/20425-E-Rancho-Los-Cerritos-Rd-Covina-CA-91724/21555369_zpid/,1961.0,35362.0
82,91722,Covina,85000.0,1.0,2.0,440.0,MANUFACTURED,https://www.zillow.com/homedetails/1045-N-Azusa-Ave-TRAILER-99-Covina-CA-91722/136705851_zpid/,1971.0,440.0
83,91724,Covina,4980000.0,7.0,5.0,7238.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/20224-E-Lorencita-Dr-Covina-CA-91724/21487250_zpid/,2009.0,188344.728
84,91724,Covina,499000.0,2.0,2.0,1095.0,CONDO,https://www.zillow.com/homedetails/4900-N-Grand-Ave-APT-351-Covina-CA-91724/21538024_zpid/,1988.0,1095.0
85,91722,Covina,432900.0,2.0,1.0,736.0,TOWNHOUSE,https://www.zillow.com/community/flats-towns-at-covina-bowl/2058999082_zpid/,2023.0,736.0
86,91722,Covina,475000.0,2.0,2.0,922.0,CONDO,https://www.zillow.com/homedetails/Covina-CA-91722/21635503_zpid/,1978.0,922.0
87,91722,Covina,75000.0,2.0,2.0,720.0,MANUFACTURED,https://www.zillow.com/homedetails/1045-N-Azusa-Ave-TRLR-48-Covina-CA-91722/2117965082_zpid/,1978.0,720.0
88,91722,Covina,702829.0,4.0,3.0,1573.0,CONDO,https://www.zillow.com/homedetails/258-Pin-Ln-Covina-CA-91722/2056105672_zpid/,2023.0,1573.0
89,91724,Covina,2890000.0,5.0,5.0,5000.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/2903-N-Monte-Verde-Dr-Covina-CA-91724/21487332_zpid/,1980.0,51487.92
90,91722,Covina,684000.0,1.0,3.0,956.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/4469-N-Vincent-Ave-Covina-CA-91722/21542423_zpid/,1954.0,6611.0
91,91723,Covina,665000.0,3.0,3.0,1620.0,TOWNHOUSE,https://www.zillow.com/homedetails/534-N-Cabernet-Dr-Covina-CA-91723/79802743_zpid/,2006.0,1620.0
92,91722,Covina,725000.0,2.0,3.0,1370.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/808-W-Cypress-St-Covina-CA-91722/21548621_zpid/,1951.0,8858.0
93,91722,Covina,774995.0,3.0,4.0,1963.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/556-E-Calora-St-Covina-CA-91722/21538349_zpid/,1995.0,3461.0
94,91724,Covina,499999.0,3.0,2.0,1212.0,CONDO,https://www.zillow.com/homedetails/20801-E-Calora-St-APT-H3-Covina-CA-91724/21535038_zpid/,1984.0,1212.0
95,91724,Covina,3280000.0,6.0,7.0,7349.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/4305-N-Sunflower-Ave-Covina-CA-91724/21545487_zpid/,1956.0,50272.596
96,91722,Covina,595000.0,1.0,3.0,964.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/16703-E-Benwood-St-Covina-CA-91722/21543105_zpid/,1954.0,6142.0
97,91724,Covina,2295000.0,6.0,5.0,4800.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/1466-E-Covina-Hills-Rd-Covina-CA-91724/21555238_zpid/,1947.0,45624.744000000006
98,91724,Covina,75000.0,2.0,2.0,820.0,MANUFACTURED,https://www.zillow.com/homedetails/716-N-Grand-Ave-TRAILER-B4-Covina-CA-91724/136705998_zpid/,1979.0,820.0
99,91724,Covina,3180000.0,6.0,5.0,5700.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/20543-Rancho-La-Floresta-Rd-Covina-CA-91724/21555531_zpid/,2023.0,45833.832
100,91724,Covina,80000.0,1.0,2.0,800.0,MANUFACTURED,https://www.zillow.com/homedetails/716-N-Grand-Ave-TRAILER-H6-Covina-CA-91724/136706032_zpid/,1971.0,800.0
101,91724,Covina,109900.0,1.0,1.0,340.0,MANUFACTURED,https://www.zillow.com/homedetails/19548-E-Cypress-St-TRAILER-44-Covina-CA-91724/2056298772_zpid/,2022.0,340.0
102,91722,Covina,718000.0,4.0,3.0,1747.0,CONDO,https://www.zillow.com/homedetails/1179-Tangerine-Dr-Covina-CA-91722/325627161_zpid/,2020.0,1747.0
103,91723,Covina,432900.0,2.0,1.0,736.0,TOWNHOUSE,https://www.zillow.com/community/flats-towns-at-zest/2058999064_zpid/,2023.0,736.0
104,91724,Covina,1899999.0,6.0,6.0,5543.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/2358-Cameron-Ave-Covina-CA-91724/21487547_zpid/,1977.0,38040.0
105,91722,Covina,131000.0,2.0,3.0,1298.5,MANUFACTURED,https://www.zillow.com/homedetails/1045-N-Azusa-Ave-58-Covina-CA-91722/136705814_zpid/,1999.0,1298.5
106,91724,Covina,79000.0,1.0,0.0,255.0,MANUFACTURED,https://www.zillow.com/homedetails/19548-E-Cypress-St-4-Covina-CA-91724/2068217436_zpid/,2021.0,255.0
107,91723,Covina,699880.0,1.0,3.0,1266.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/169-E-Loma-Vista-St-Covina-CA-91723/21556805_zpid/,1949.0,6308.0
108,91724,Covina,630000.0,3.0,3.0,1412.0,CONDO,https://www.zillow.com/homedetails/180-N-Glendora-Ave-87-Covina-CA-91724/21546712_zpid/,1986.0,1412.0
109,91724,Covina,3500000.0,6.0,8.0,5604.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/20827-E-Mesarica-Rd-Covina-CA-91724/21545574_zpid/,1955.0,62465.04
110,91724,Covina,1150000.0,3.0,5.0,1800.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/21062-E-Cienega-Ave-Covina-CA-91724/21535391_zpid/,1945.0,24569.999999999996
111,91723,Covina,1600000.0,5.0,8.0,3690.0,MULTI_FAMILY,https://www.zillow.com/homedetails/645-S-Eremland-Dr-Covina-CA-91723/2090158637_zpid/,1956.0,7104.636
112,91722,Covina,655900.0,2.0,3.0,1827.0,TOWNHOUSE,https://www.zillow.com/community/flats-towns-at-covina-bowl/2058999061_zpid/,2023.0,1827.0
113,91724,Covina,99000.0,1.0,1.0,480.0,MANUFACTURED,https://www.zillow.com/homedetails/19548-E-Cypress-St-TRAILER-39-Covina-CA-91724/250349956_zpid/,2011.0,480.0
114,91723,Covina,498900.0,2.0,1.0,935.0,TOWNHOUSE,https://www.zillow.com/community/flats-towns-at-zest/2058999071_zpid/,2023.0,935.0
115,91724,Covina,90000.0,1.0,1.0,533.0,MANUFACTURED,https://www.zillow.com/homedetails/716-N-Grand-Ave-TRLR-J1-Covina-CA-91724/2103264204_zpid/,1967.0,533.0
116,91723,Covina,949000.0,3.0,7.0,1749.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/336-E-Front-St-Covina-CA-91723/21547833_zpid/,1909.0,7847.0
117,91722,Covina,527900.0,2.0,1.0,1083.0,TOWNHOUSE,https://www.zillow.com/community/flats-towns-at-covina-bowl/2058999085_zpid/,2023.0,1083.0
118,91722,Covina,618400.0,3.0,3.0,1486.0,TOWNHOUSE,https://www.zillow.com/community/flats-towns-at-covina-bowl/2058999092_zpid/,2023.0,1486.0
119,91722,Covina,489900.0,2.0,1.0,935.0,TOWNHOUSE,https://www.zillow.com/community/flats-towns-at-covina-bowl/2058999093_zpid/,2023.0,935.0
120,91723,Covina,611900.0,3.0,3.0,1493.0,TOWNHOUSE,https://www.zillow.com/community/flats-towns-at-zest/2058999067_zpid/,2023.0,1493.0
121,91722,Covina,678000.0,4.0,1.0,1573.0,TOWNHOUSE,https://www.zillow.com/community/rows-at-covina-bowl/2058999035_zpid/,2023.0,1573.0
122,91723,Covina,670900.0,3.0,1.0,1661.0,TOWNHOUSE,https://www.zillow.com/community/rows-at-zest/2058999044_zpid/,2023.0,1661.0
123,91723,Covina,547900.0,2.0,1.0,1092.0,TOWNHOUSE,https://www.zillow.com/community/flats-towns-at-zest/2058999063_zpid/,2023.0,1092.0
124,91722,Covina,663900.0,2.0,2.0,1540.0,TOWNHOUSE,https://www.zillow.com/community/flats-towns-at-covina-bowl/2058999069_zpid/,2023.0,1540.0
125,91722,Covina,661900.0,4.0,3.0,1629.0,TOWNHOUSE,https://www.zillow.com/community/flats-towns-at-covina-bowl/2058999066_zpid/,2023.0,1629.0
126,91723,Covina,646500.0,2.0,3.0,1827.0,TOWNHOUSE,https://www.zillow.com/community/flats-towns-at-zest/2058999062_zpid/,2023.0,1827.0
127,91723,Covina,646500.0,2.0,3.0,1827.0,CONDO,https://www.zillow.com/homedetails/692-Cara-Ln-Covina-CA-91723/2057327595_zpid/,2023.0,1827.0
128,91723,Covina,668900.0,2.0,2.0,1544.0,TOWNHOUSE,https://www.zillow.com/community/flats-towns-at-zest/2058999068_zpid/,2023.0,1544.0
129,91723,Covina,670900.0,4.0,3.0,1629.0,TOWNHOUSE,https://www.zillow.com/community/flats-towns-at-zest/2058999070_zpid/,2023.0,1629.0
130,91723,Covina,670400.0,4.0,3.0,1629.0,CONDO,https://www.zillow.com/homedetails/709-Cara-Ln-Covina-CA-91723/2056453468_zpid/,2023.0,1629.0
131,91723,Covina,618400.0,3.0,3.0,1486.0,CONDO,https://www.zillow.com/homedetails/289-Strike-Dr-Covina-CA-91723/2056453842_zpid/,2023.0,1486.0
132,91722,Covina,678000.0,4.0,3.0,1573.0,CONDO,https://www.zillow.com/homedetails/229-Scratch-Rd-Covina-CA-91722/2056454050_zpid/,2023.0,1573.0
133,91723,Covina,619400.0,3.0,3.0,1486.0,CONDO,https://www.zillow.com/homedetails/707-Cara-Ln-Covina-CA-91723/2056453750_zpid/,2023.0,1486.0
134,91740,Glendora,750000.0,3.0,3.0,1688.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/927-La-Serena-Dr-Glendora-CA-91740/21636687_zpid/,1954.0,5938.0
135,91740,Glendora,1598888.0,4.0,6.0,3907.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/939-W-Gladstone-St-Glendora-CA-91740/2056061701_zpid/,2023.0,19780.0
136,91741,Glendora,1275000.0,3.0,4.0,1910.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/318-N-Glenwood-Ave-Glendora-CA-91741/21643833_zpid/,1971.0,11399.999999999996
137,91740,Glendora,749000.0,2.0,4.0,1232.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/1642-Suffolk-Pl-Glendora-CA-91740/21644659_zpid/,1959.0,7802.0
138,91741,Glendora,675000.0,1.0,3.0,1238.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/627-N-Vermont-Ave-Glendora-CA-91741/21638324_zpid/,1950.0,7388.0
139,91740,Glendora,799000.0,2.0,4.0,1383.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/744-E-Dover-St-Glendora-CA-91740/21640470_zpid/,1960.0,8915.0
140,91740,Glendora,214950.0,2.0,3.0,1100.0,MANUFACTURED,https://www.zillow.com/homedetails/732-E-Route-66-18-Glendora-CA-91740/2057090059_zpid/,2023.0,1100.0
141,91740,Glendora,139900.0,2.0,2.0,850.0,MANUFACTURED,https://www.zillow.com/homedetails/1700-S-Glendora-Ave-14-Glendora-CA-91740/2056170191_zpid/,1970.0,850.0
142,91741,Glendora,152500.0,2.0,2.0,1440.0,MANUFACTURED,https://www.zillow.com/homedetails/208-S-Barranca-Ave-SPC-33-Glendora-CA-91741/2118837447_zpid/,1970.0,1440.0
143,91741,Glendora,908000.0,2.0,4.0,1678.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/1024-E-Laurel-Ave-Glendora-CA-91741/21643998_zpid/,1959.0,8518.0
144,91741,Glendora,1099999.0,2.0,4.0,2541.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/220-S-San-Jose-Dr-Glendora-CA-91741/21646743_zpid/,1993.0,8606.0
145,91741,Glendora,580000.0,2.0,2.0,1174.0,CONDO,https://www.zillow.com/homedetails/114-Oak-Forest-Cir-Glendora-CA-91741/21646836_zpid/,1976.0,1174.0
